Implemento,Score,Tendência,Grupo mínimo sugerido,Base do peso,Observação
HIDROSUCÇÃO / HIDROVÁCUO,20,Muito alto,Severo,PTO/bomba/vácuo,Operação estacionária severa.
KIT FERROVIÁRIO,15,Alto,Severo,Operação especializada,Validar baixa velocidade e esforço.
MADEIREIRO / TRANSPORTE DE TORAS,12,Alto,Severo,Alta carga/CMT,Fora de estrada e carga severa.
MUNCK,18,Muito alto,Severo,PTO/hidráulico,Operação parado com carga.
MUNCK + CARGA SECA,18,Muito alto,Severo,PTO/hidráulico,Uso combinado.
MUNCK + GRANELEIRO,18,Muito alto,Severo,PTO/hidráulico,Uso combinado.
MUNCK + PLATAFORMA,20,Muito alto,Severo,PTO/hidráulico intenso,Uso combinado severo.
OUTROS / VALIDAR,0,Validar,Não enquadrar,Não informado,Não usar implemento desconhecido para sugerir grupo.
PERFURATRIZ / PERFURATRIZ DE SOLO,20,Muito alto,Severo,PTO/equipamento estacionário,Operação severa.
PINTURA VIÁRIA,18,Muito alto,Severo,Baixa velocidade/equipamento,Operação lenta e urbana.
PLATAFORMA / PLATAFORMA PLANA,10,Moderado,Misto,Estrutural/possível hidráulico,Validar tipo de plataforma.
POLIGUINDASTE,18,Muito alto,Severo,PTO/hidráulico intenso,Paradas e operação hidráulica.
PRANCHA,10,Moderado,Misto,Alta carga estrutural,"Não implica PTO, mas aumenta esforço."
REBOQUE,5,Baixo/Moderado,Sem mínimo,Composição,Depende da carga e rota.
RODO TREM CACAMBA / RODOCAÇAMBA,15,Alto,Severo,Hidráulico + alto CMT,"Carga, composição, obra e descarga."
ROLL ON ROLL OFF,18,Muito alto,Severo,PTO/hidráulico intenso,Operação hidráulica.
SEM CARROCERIA / SEM IMPLEMENTO,0,Neutro,Sem mínimo,Não informado,Não influencia classificação.
SEMI-AUTÔNOMO / TRANSBORDO DE CANA,15,Alto,Severo,Alta carga/CMT,Operação canavieira.
SIDER,3,Baixo,Sem mínimo,Sem PTO/hidráulico,Depende de rota/carga.
SILO,8,Moderado,Misto,Carga específica,Validar descarga e operação.
SILO GRANELEIRO / CEBOLÃO,8,Moderado,Misto,Carga específica,Validar rota e poeira.
SILO MISTURADOR,18,Muito alto,Severo,Mistura/equipamento,Maior severidade.
TANQUE,8,Moderado,Misto,Carga líquida,Validar operação e rota.
TANQUE + REBOQUE,10,Moderado,Misto,Carga líquida + composição,Carga e CMT.
TANQUE ISOTÉRMICO,8,Moderado,Misto,Carga crítica,Validar aplicação.
TRANSBORDO DE CANA,15,Alto,Severo,Alta carga/CMT,Operação agrícola severa.
TRANSPORTE DE BEBIDAS,5,Baixo/Moderado,Sem mínimo,Sem PTO principal,Paradas vêm da aplicação.
TRANSPORTE DE CONTAINER,5,Baixo/Moderado,Sem mínimo,Sem PTO principal,Peso/rota determinam severidade.
TRANSPORTE DE CONTAINER + MUNCK,18,Muito alto,Severo,PTO/hidráulico,Munck eleva severidade.
TRANSPORTE DE GASES,8,Moderado,Misto,Carga sensível,Validar distribuição e rota.
TRANSPORTE DE TROPA,8,Moderado,Misto,Carga viva,Validar rota.
TRANSPORTE DE VALORES,8,Moderado,Misto,Operação urbana/sensível,Paradas e rota urbana.
TRANSPORTE DE VEÍCULOS,5,Baixo/Moderado,Sem mínimo,Sem PTO principal,Geralmente rodoviário.
TRI TREM / TRITREM,8,Moderado,Misto,Alto CMT,Sem PTO principal.
TRIO ELÉTRICO,15,Alto,Severo,Equipamentos e operação lenta,Pode ter baixa velocidade.
VAGÃO FORRAGEIRO,12,Alto,Severo,Agrícola/carga,Validar fora de estrada.
VALETADEIRA,20,Muito alto,Severo,PTO/equipamento severo,Operação estacionária/baixa velocidade.
VARREDEIRA DE RUAS,20,Muito alto,Severo,PTO e baixa velocidade,Operação urbana severa.
VITAL AIR - OXIGÊNIO,8,Moderado,Misto,Carga sensível,Validar distribuição.
